,Beds,Full Baths,Half Baths,Lot Size,Name,Price,Sq Feet
0,None,None,None,,"0 GatewayRock Springs, WY 82901","$725,000",None
1,4,4,None,0.21 Acres,"1003 Winchester Blvd.Rock Springs, WY 82901","$452,900",None
2,5,3,None,,"600 TalladegaRock Springs, WY 82901","$396,900","3,154"
3,4,3,1,"Under 1/2 Acre, ","3239 Spearhead WayRock Springs, WY 82901","$389,900","3,076"
4,3,3,None,"Under 1/2 Acre, ","522 Emerald StreetRock Springs, WY 82901","$254,000","1,172"
5,4,2,None,0.27 Acres,"1302 Veteran's DriveRock Springs, WY 82901","$252,900","1,932"
6,4,3,None,"Under 1/2 Acre, ","1021 Cypress CirRock Springs, WY 82901","$210,000","1,676"
7,3,2,None,"Under 1/2 Acre, ","913 Madison DrRock Springs, WY 82901","$209,000","1,344"
8,3,2,None,"Under 1/2 Acre, ","1344 Teton StreetRock Springs, WY 82901","$199,900","1,920"
9,3,2,None,2.02 Acres,"4 Minnies LaneRock Springs, WY 82901","$196,900","1,664"
10,None,None,None,,"9339 Sd 26900Rocksprings, TX 78880","$1,700,000","2,560"
11,None,None,None,,"RR674P13 Hwy 377Rocksprings, TX 78880","$1,100,000","2,000"
12,None,None,None,,"0 Hwy 41Rocksprings, TX 78880","$1,080,000",None
13,None,None,None,,"9339 Sd 26900Rocksprings, TX 78880","$908,350","2,560"
14,None,None,None,,"CR450 Hwy 377Rocksprings, TX 78880","$905,000",None
15,None,None,None,,"Cr 240 Cr 240Rocksprings, TX 78880","$695,000","1,398"
16,None,None,None,,"RR674 Hwy 377Rocksprings, TX 78880","$605,000","1,738"
17,None,None,None,,"9770a Sd 26900Rocksprings, TX 78880","$559,805","1,080"
18,None,None,None,,"Lot17 CR 2630Rocksprings, TX 78880","$504,000",None
19,None,None,None,,"Tr12,16 CR 520Rocksprings, TX 78880","$410,000",None
20,3,2,None,,"32575 S Shadow Mountain RoadBlack Canyon City, AZ 85324","$299,900","2,318"
21,3,2,None,,"32750 S Shangrila DriveBlack Canyon City, AZ 85324","$167,500","2,120"
22,None,None,None,5 Acres,"0000 Black Canyon HighwayBlack Canyon City, AZ 85324","$150,000",None
23,3,2,None,,"34775 S CHOLLA DriveBlack Canyon City, AZ 85324","$129,500","1,220"
24,4,2,None,,"33403 S. HA-WA-SI TERRACEBLACK CANYON CITY, AZ 85324","$129,000","2,000"
25,5,2,None,,"34263 S Bertha StreetBlack Canyon City, AZ 85324","$80,000","2,260"
26,3,2,None,,"33160 S Canyon RoadBlack Canyon City, AZ 85324","$77,900","1,248"
27,3,2,None,,"19421 E Todd Evans RoadBlack Canyon City, AZ 85324","$70,500","1,404"
28,None,None,None,0.7 Acres,"18688 E AGUA VistaBlack Canyon City, AZ 85324","$70,000",None
29,None,None,None,3 Acres,"50600 N Old Black Canyon RoadBlack Canyon City, AZ 85324","$67,500",None
30,None,None,None,,"20101 E SQUAW VALLEY RoadBlack Canyon City, AZ 85324","$54,900",None
31,3,1</b> Full Bath,None,,"33259 S Canyon RoadBlack Canyon City, AZ 85324","$45,600","1,056"
32,2,1</b> Full Bath,None,Under 1/2 Acre,"34558 S ROADRUNNER RDBlack Canyon City, AZ 85324","$40,000",784
33,None,None,None,2.35 Acres,"19260 E Scenic Loop RoadBlack Canyon City, AZ 85324","$30,000",None
34,None,None,None,2.05 Acres,"19000 E MAREN AvenueBlack Canyon City, AZ 85324","$29,000",None
35,None,None,None,0.73 Acres,"19350 E SAGUARO DriveBlack Canyon City, AZ 85324","$28,995",None
36,None,None,None,0.31 Acres,"20650 E Amethyst PlaceBlack Canyon City, AZ 85324","$15,000",None
